LON,LAT,Application____KOAP__or_Class__Nursery_,Commercial,Organization,Last_known_Address,Last_Known_Contact_Name,Phone,Email,Web,County,Data_Source,Status__2023_,Instance__
-85.311266,37.108724,A,Yes,"Ironweed Native Plant Nursery, LLC","114 Stults St., Columbia, KY 42728-",Alicia Bosela,(270) 384-1352,asbiagi@gmail.com,,Adair,Kentucky Nursery Licenses 2021-2022,Unknown,1
-85.238158,37.0101558,A,Yes,Neil Harrelson,"8481 Highway 55 South, Columbia, KY 42728-",Neil Harrelson,(270) 670-5578,nharrelson08@gmail.com,,Adair,Kentucky Nursery Licenses 2021-2022,Unknown,1
-85.4613077,36.9918482,A,Yes,Oak Mountain Homestead,"1616 Chestnut Grove Rd, Columbia, KY 42728-",Katrina Sweeney,(270) 576-7917,oakmountainhomestead@gmail.com,,Adair,Kentucky Nursery Licenses 2021-2022,Unknown,1
-85.3282408,37.1076675,,No,Adair County High School,"526 Indian Drive, Columbia, KY 42728","Kirby Hancock, Randy Rexroat",,"kirby.hancock@adair.kyschools.us, randy.rexroat@adair.kyschools.us",,Adair,"Ag FFA Instructors, POWER counties",Unknown,1
-85.466926,36.9326254,A,Yes,Shady Ridge Nursery,"100 Shady Ridge Lane, Breeding, KY 42715-",Sandy J. Scott,(270) 791-3050,sandarrell77@yahoo.com,,Adair,Kentucky Nursery Licenses 2021-2022,Unknown,1
-86.219482,36.7424741,A2010?0053,No,Allen County Board of Education,"570 Oliver Street, Scottsville,",Randall Jackson,270?618?3181 Fax: 270?618?3185,,,Allen,KOAP Open Record Req. GHs,Unknown,1
-86.1807346,36.7986388,,,Dowell Farms,"301 Pruitt Lane, Scottsville, KY 42164",Brian L Dowell,(270) 622-5451,placidiom@yahoo.com (Bad email.DB,,Allen,Kentucky Proud Greenhouse Growers 2021,Unknown,1
-86.2527219,36.6701111,,,Quail Hollow Candle Factory & Gift Shop,"455 Andrew Jackson Way, Adolphus, KY 42120",Tee Kurelic,(270) 618-6600,quailhollowwax@nctc.com,www.quailhollowwax.com,Allen,Kentucky Proud Greenhouse Products 2021,Unknown,1
-86.1905424,36.7533781,,,Allen County Scottsville Farmers' Market,", Scottsville, KY 42164",Lori Hogue,(270) 237-1958,hoguefarms@outlook.com,www.allencountyfarmersmarket.com,Allen,Kentucky Proud Greenhouse Products 2021,Unknown,1
-86.3234543,36.7126997,,,"Habegger's Amish Market, Inc.","415 Perrytown Road, Scottsville, KY 42164",Martha & Michael Habegger,(270) 618-5676,habeggers_amish_market@hotmail.com,www.habeggersamishmarket.com,Allen,Kentucky Proud Greenhouse Products 2021,Unknown,1
-86.1807346,36.7986388,,,Dowell Farms,"301 Pruitt Lane, Scottsville, KY 42164",Brian L Dowell,(270) 622-5451,placidiom@yahoo.com (Bad email.DB,,Allen,Kentucky Proud Greenhouse Products 2021,Unknown,2
-86.195468,36.7536898,,,Bennett Family Farms,"409 West Main Street, Scottsville, KY 42164",Charles Bennett,(270) 237-5299,Chuck.Bennett@SouthernFinancialInsurance.com,,Allen,Kentucky Proud Greenhouse Products 2021,Unknown,1
-86.1855338,36.7720811,,,Fairy Hunter Herbs - Coffey Grounds Farms,"7893 Smith Grove Road, Scottsville, KY 42164",Britni Coffey,(270) 618-3537,britni@fairyhunterherbs.com,fairyhunterherbs.com,Allen,Kentucky Proud Greenhouse Products 2021,Unknown,1
-86.1406632,36.6576944,,,4 Acre Farm,"332 Eugene Keen Road, Scottsville, KY 42164",Josh Merideth,(270) 799-7524,joshmerideth@yahoo.com,,Allen,Kentucky Proud Greenhouse Products 2021,Unknown,1
-86.196198,36.747782,,,Ragan's Flowers,"515 Old Gallatin Road, Scottsville, KY 42164",Paul Ragan,(270) 237-7270,cherylragan@hotmail.com,facebook.com/Ragans-Flowers-679895815514659,Allen,Kentucky Proud Greenhouse Products 2021,Unknown,2
-86.1409692,36.8007472,A,Yes,Hartman Orchard and Nursery,"5215 New Glasgow Rd., Scottsville, KY 42164-",Steve Hartman,(270) 237-7325,hartman@nctc.com,,Allen,Kentucky Nursery Licenses 2021-2022,Unknown,1
-86.115846,36.723877,A,Yes,Nathan Morgan Tree Farm,"5200 Holland Road, Scottsville, KY 42164-",Nathan Morgan,(270) 779-5129,mrnthn8@aol.com,,Allen,Kentucky Nursery Licenses 2021-2022,Unknown,1
-86.1964403,36.7503805,A,Yes,Ragan's Flowers,"810 West Main St., Scottsville, KY 42164-",Paul Ragan,(270) 237-7270,cherylragan@hotmail.com,,Allen,Kentucky Nursery Licenses 2021-2022,Unknown,1
-86.3427851,36.7426457,A,Yes,Shady Maple Greenhouse,"4961 Old Franklin Rd, Scottsville, KY 42164-",Leroy Habegger,,,,Allen,Kentucky Nursery Licenses 2021-2022,Unknown,1
-86.335981,36.7280919,A,Yes,Windy Hill Greenhouses,"1644 Shores Rd., Scottsville, KY 42164-",Dietrich and Rebecca Penner,,,,Allen,Kentucky Nursery Licenses 2021-2022,Unknown,1
-84.848251,37.9774624,,,Bluebird Hill Farm,"1311 Gilbert's Creek Road, Lawrenceburg, KY 40342",Cheryl Snow,(502) 517-1705,bckhsnow@gmail.com,,Anderson,Kentucky Proud Greenhouse Growers 2021,Unknown,2
-84.9207158,38.0640066,,,Anderson County Farmers' Market (The Old Depot),"1505 Bypass North, Lawrenceburg, KY 40342",Bob Snow,,andersonfarmersky@gmail.com,www.facebook.com/andersoncofarmersmarket,Anderson,Kentucky Proud Greenhouse Products 2021,Unknown,1
-84.8433023,38.0167699,,,Honey & Herbs On Wildcat,"1458 Wildcat Road, Lawrenceburg, KY 40342",Barbara Gillette,(502) 859-3909,bgwrite9@yahoo.com.,,Anderson,Kentucky Proud Greenhouse Products 2021,Unknown,1
-84.9176176,38.076572,,,Tres Gotos Farm,"Anderson Co Farmers Market, Lawrenceburg, KY 40342",Michael E Webb,(859) 806-9224,chefwebb@yahoo.com,,Anderson,Kentucky Proud Greenhouse Products 2021,Unknown,1
-84.859471,37.980779,,,Rough Draft Farmstead,"1295 Gilbert's Creek Road, Lawrenceburg, KY 40342",Jesse Frost,(502) 598-8288,roughdraftfarmstead@gmail.com,www.roughdraftfarmstead.com,Anderson,Kentucky Proud Greenhouse Products 2021,Unknown,1
-85.060201,37.950498,,,Cedar Springs,"1368 Mays Road, Lawrenceburg, KY 40342",Kim Butcher,(859) 396-6914,Kimsunley74@gmail.com,,Anderson,Kentucky Proud Greenhouse Products 2021,Unknown,1
-84.848251,37.9774624,,,Bluebird Hill Farm,"1311 Gilbert's Creek Road, Lawrenceburg, KY 40342",Cheryl Snow,(502) 517-1705,bckhsnow@gmail.com,,Anderson,Kentucky Proud Greenhouse Products 2021,Unknown,3
-84.8871384,37.9758186,,,"Drake Ridge Farms U-Pick, LLC","1110 Bondsmill Road, Lawrenceburg, KY 40342",Sam Drake,(502) 751-8402,samdrakejr@gmail.com,,Anderson,Kentucky Proud Greenhouse Products 2021,Unknown,1
-84.988932,38.124698,A,Yes,Backwoods Garden and Nursery,"575 Avenstoke Road, Waddy, KY 40076-",Josh Sparks,(859) 699-9512,sparkysloj@gmail.com,,Anderson,Kentucky Nursery Licenses 2021-2022,Unknown,1
-84.8539284,37.9779006,A,Yes,Bluebird Hill Farm,"1305 Gilbert's Creek Rd., Lawrenceburg, KY 40342-",Cheryl Snow,(502) 517-1705,bluebirdhillfarmky@gmail.com,,Anderson,Kentucky Nursery Licenses 2021-2022,Unknown,1
-85.0336578,37.9927265,A,Yes,"Chicory Hollow Farm, LLC","1161 Dennis Road, Lawrenceburg, KY 40342-",James & Pamela Holbrook,(859) 559-2515,chicoryhollowfarm@gmail.com,,Anderson,Kentucky Nursery Licenses 2021-2022,Unknown,1
-84.8535556,37.9792728,A,Yes,Daylily World,"1301 Gilberts Creek Road, Lawrenceburg, KY 40342-",David Kirchhoff,(407) 416-9119,hybridizer@aol.com,,Anderson,Kentucky Nursery Licenses 2021-2022,Unknown,1
-88.9897537,37.0660732,A2014?0214,No,Ballard County Board of Education,"11 Vocational School Drive, Barlow, KY 42024",,270.665.8400 Fax: 270.665.9844,brian.jarvis@ballard.kyschools.us,,Ballard,KOAP Open Record Req. GHs,Unknown,1
-88.8333715,37.0687177,,,Simply Preserved,"3580 Hobbs Rd, Kevil, KY 42053",Georgia Nichols,(270) 816-5330,gnichols3580@gmail.com,,Ballard,Kentucky Proud Greenhouse Products 2021,Unknown,1
-88.9736762,37.0767199,,,Ballard County Farmers' Market,", La Center, KY 42056",Tracy Hobbs,(270) 462-2394,thobbs@brtc.net,www.facebook.com/BallardCountyFM/,Ballard,Kentucky Proud Greenhouse Products 2021,Unknown,1
-85.9573373,37.1373603,,,Sugar Sank,"213 Broadway Street, Cave City, KY 42127",Marla Bush,(270) 537-4122,sugarsank3@gmail.com,,Barren,Kentucky Proud Greenhouse Growers 2021,Unknown,1
-85.922804,37.1282039,,,Sacred Seed Farm,"552 Wilson Childress Road, Cave City, KY 42127",Chad Wilson,(270) 202-5525,sacredseedfarm@gmail.com,,Barren,Kentucky Proud Greenhouse Growers 2021,Unknown,2
-85.880615,36.94869,,,Retreat Greenhouse Co.,"3728 Tompkinsville Road, Glasgow, KY 42141",Lori Poynter,(270) 670-8158,lcpoynter@yahoo.com,,Barren,Kentucky Proud Greenhouse Growers 2021,Unknown,1
-85.990986,37.1130137,,,C & F Mums,"28351 Louisville Road, Cave City, KY 42127",Cassie Herald,(270) 773-2950,Cherald8904@gmail.com,,Barren,Kentucky Proud Greenhouse Products 2021,Unknown,1
-85.9788814,37.1033406,,,Turner Farms,"561 Old Happy Valley Rd, Cave City, KY 42127",Katina Turner,(270) 773-3783,kturner@scrtc.com,,Barren,Kentucky Proud Greenhouse Products 2021,Unknown,1
-85.9573373,37.1373603,,,Sugar Sank,"213 Broadway Street, Cave City, KY 42127",Marla Bush,(270) 537-4122,sugarsank3@gmail.com,,Barren,Kentucky Proud Greenhouse Products 2021,Unknown,2
-85.9884536,37.0827051,,,Gossett Farms,"5331 Stovall Road, Cave City, KY 42127",Dusty Gossett,(270) 670-9736,gossettfarms@icloud.com,,Barren,Kentucky Proud Greenhouse Products 2021,Unknown,1
-85.922804,37.1282039,,,Sacred Seed Farm,"552 Wilson Childress Road, Cave City, KY 42127",Chad Wilson,(270) 202-5525,sacredseedfarm@gmail.com,,Barren,Kentucky Proud Greenhouse Products 2021,Unknown,3
-85.9119215,36.9958839,,,Bounty Of The Barrens Farmers' Market,", Glasgow, KY 42141",Josh Johnson,(270) 646-7357,brandi.button@outlook.com,www.bountyofthebarrens.com,Barren,Kentucky Proud Greenhouse Products 2021,Unknown,1
-85.823913,36.963445,,,Fox Bottom Farms,"2771 Lick Branch Road, Glasgow, KY 42141",Stephen Gibbons,(270) 590-8567,foxbottomfarms@yahoo.com,,Barren,Kentucky Proud Greenhouse Products 2021,Unknown,1
-86.0681908,36.9275161,,,Button's Wharf,"1120 Settles Road, Glasgow, KY 42141",Charles Button,(270) 646-2179,dbutton@scrtc.com,,Barren,Kentucky Proud Greenhouse Products 2021,Unknown,1
-85.818375,36.909123,,,The Lilly Pad,"197 Barbour Cemetery R, Glasgow, KY 42141",Debbie Billingsley,(270) 427-4707,ddjjw123@gmail.com,,Barren,Kentucky Proud Greenhouse Products 2021,Unknown,1
-86.0862919,36.9276406,,,Lake Berry Farm,"349 Cooks Creek Trail, Glasgow, KY 42141",Ray & Nancy Haggerty,,raynancy@scrtc.com,,Barren,Kentucky Proud Greenhouse Products 2021,Unknown,1
-85.880615,36.94869,,,Retreat Greenhouse Co.,"3728 Tompkinsville Road, Glasgow, KY 42141",Lori Poynter,(270) 670-8158,lcpoynter@yahoo.com,,Barren,Kentucky Proud Greenhouse Products 2021,Unknown,2
-86.046367,37.0939375,,,Esters Farm,"1637 PO Box Ayr Road, Park City, KY 42160",Gabe Esters,(270) 670-6978,estersfarm@windstream.net,www.estersfarm.com,Barren,Kentucky Proud Greenhouse Products 2021,Unknown,1
-85.9463624,36.963991,A,Yes,"Barren Wholesale Greenhouses, Inc.","2920 Scottsville Road, Glasgow, KY 42141-",James T.Wesley,(270) 678-6669,wesleyjt@scrtc.com,,Barren,Kentucky Nursery Licenses 2021-2022,Unknown,1
-85.8556064,36.9768452,A,Yes,"Grassy Roads, LLC dba Busy Bee Nursery","2083 Hollow Rd., Glasgow, KY 42141-",Shannon Trimboli,(270) 202-7677,busybee@shannontrimboli.com,,Barren,Kentucky Nursery Licenses 2021-2022,Unknown,1
-85.9466218,36.9647332,B,Yes,Green Leaf Nursery Inc.,"2918 Scottsville Road, Glasgow, KY 42141-",Traci Briggs/Grant Woodward,(270) 678-4662,greenleafglasgowky@gmail.com,,Barren,Kentucky Nursery Licenses 2021-2022,Unknown,1
-85.9494157,37.0115809,A,Yes,"Luxury Garden Center, Inc.","1757 W. Main St., Glasow, KY 42141-",Kevin/Lacey Kerr,(270) 678-5555,luxurygardencenter@outlook.com,,Barren,Kentucky Nursery Licenses 2021-2022,Unknown,1
-85.922804,37.1282039,A,Yes,Sacred Seed Farm,"552 Wilson Childress Rd., Cave city, KY 42127-",Chad Wilson,(270) 202-5525,sacredseedfarm@gmail.com,,Barren,Kentucky Nursery Licenses 2021-2022,Unknown,1
-85.9463624,36.963991,,Yes,Barren Wholesale Greenhouses,"2920 Scottsville Rd, Glasgow, KY 42141",Jim Wesley,2706786669,,,Barren,KGA Commercial Directory,Unknown,2
-83.7132604,38.0576753,,,Timber & Steel Farm,"1299 Old State Road, Owingsville, KY 40360",Corey Cox,(606) 776-1760,coreycox1760@gmail.com,,Bath,Kentucky Proud Greenhouse Growers 2021,Unknown,1
-83.841568,38.219105,,,Flat Creek Farm,"1582 Shields Road, Sharpsburg, KY 40374",Elam B. Stoltzfus,,,,Bath,Kentucky Proud Greenhouse Growers 2021,Unknown,1
-83.7640847,38.1448015,,,Bath County Farmers' Market,", Owingsville, KY 40360",Rob Amburgey,(606) 674-6121,ramburge@uky.edu,www.facebook.com/bathkyfarmersmarket,Bath,Kentucky Proud Greenhouse Products 2021,Unknown,1
-83.7339227,38.1965005,,,Butcher & Son Farms,"4311 Wyoming Road, Owingsville, KY 40360",Chris Butcher,(606) 674-2246,cbutcher3@yahoo.com,,Bath,Kentucky Proud Greenhouse Products 2021,Unknown,1
-83.7485282,38.1508452,,,"""DBA"" Slate Creek Creations","294 Wyoming Road, Owingsville, KY 40360",Lori Mcalister,(606) 336-5400,slatecreekcreations@gmail.com,,Bath,Kentucky Proud Greenhouse Products 2021,Unknown,1
-83.705236,38.114382,,,Half Pike Acres,"1720 Hart Pike, Owingsville, KY 40360",Darla Mann,(859) 629-5980,halfpikeacres@gmail.com,,Bath,Kentucky Proud Greenhouse Products 2021,Unknown,1
-83.7132604,38.0576753,,,Timber & Steel Farm,"1299 Old State Road, Owingsville, KY 40360",Corey Cox,(606) 776-1760,coreycox1760@gmail.com,,Bath,Kentucky Proud Greenhouse Products 2021,Unknown,2
-83.6246583,38.1775406,,,Withrow Farms,"1551 Vanlandingham Road, Salt Lick, KY 40371",Krissy Withrow,(606) 356-5516,krissy_mckenzie44@hotmail.com,,Bath,Kentucky Proud Greenhouse Products 2021,Unknown,1
-83.9293681,38.2020214,,,Pecks Farm Supply,"627 Main Street PO Box 156, Sharpsburg, KY 40374",Curtis Gregory,(606) 247-2421,pecksfarmsup@windstream.net,,Bath,Kentucky Proud Greenhouse Products 2021,Unknown,1
-83.870813,38.240938,,,Bethal Produce,"304 Bethel Ridge Road, Sharpsburg, KY 40374",Daniel V. Zook,(606) 247-4788,,,Bath,Kentucky Proud Greenhouse Products 2021,Unknown,1
-83.85611468,38.20457763,,,Mulberry Ridge Organics,"7386 Veterans Memorial Hwy., Sharpsburg, KY 40374",John Stoltzfus,,,,Bath,Kentucky Proud Greenhouse Products 2021,Unknown,1
-83.7767563,38.1372332,,No,Bath County High School,"645 Chenault Drive, Owingsville, KY 40360","Joe Hammons, Chris Howard",,"jon.hammons@bath.kyschools.us, chris.howard@bath.kyschools.us",,Bath,"Ag FFA Instructors, POWER counties",Unknown,1
-83.9294817,36.6417749,,No,Henderson Settlement,"16773 Highway 190, Frakes, KY 40940",Casey Smith,(606) 337-3613,missadv2@hsumc.org,hendersonsettlement.org,Bell,Kentucky Proud Greenhouse Growers 2021,Unknown,1
-83.9294817,36.6417749,,No,Henderson Settlement United Methodist Mission,"16773 Highway 190, Frakes, KY 40940",Richard Mason,(606) 337-3613,farm@hsumc.org,www.hendersonsettlement.com,Bell,Kentucky Proud Greenhouse Growers 2021,Unknown,1
-83.6966681,36.7616896,,,Clover Creek Farm,"7676 Highway 190, Pineville, KY 40977",Richard Mason,(606) 337-6787,clover_creek_farm@hotmail.com,www.facebook.com/clovercreekfarm,Bell,Kentucky Proud Greenhouse Growers 2021,Unknown,1
-83.9294817,36.6417749,,,Henderson Settlement,"16773 Highway 190, Frakes, KY 40940",Casey Smith,(606) 337-3613,missadv2@hsumc.org,hendersonsettlement.org,Bell,Kentucky Proud Greenhouse Products 2021,Unknown,2
-83.9294817,36.6417749,,,Henderson Settlement United Methodist Mission,"16773 Highway 190, Frakes, KY 40940",Richard Mason,(606) 337-3613,farm@hsumc.org,www.hendersonsettlement.com,Bell,Kentucky Proud Greenhouse Products 2021,Unknown,2
-83.9638426,36.6185504,,,Henderson Settlement Farmers' Market,", Frakes, KY 40940",Casey Smith,(606) 337-3613,missadv2@hsumc.org,www.hendersonsettlement.com,Bell,Kentucky Proud Greenhouse Products 2021,Unknown,1
-83.79678,36.704641,,,Clover Creek Farm,"7676 Highway 190, Pineville, KY 40977",Richard Mason,(606) 337-6787,clover_creek_farm@hotmail.com,www.facebook.com/clovercreekfarm,Bell,Kentucky Proud Greenhouse Products 2021,Unknown,2
-83.6914603,36.7127296,,No,Bell County High School,"9824 US Hwy 25-E, Pineville, KY 40977",Kevin Napier,,kevin.napier@bell.kyschools.us,,Bell,"Ag FFA Instructors, POWER counties",Unknown,1
-84.7651143,39.0150878,,,Kinman Farms,"4175 Burlington Pike, Burlington, KY 41005",Aaron Anderson,(859) 689-2682,kinmanfarms@aol.com,www.kinmanfarm.com,Boone,Kentucky Proud Greenhouse Products 2021,Unknown,1
-84.7241133,39.02756,,,Boone County Farmers Market,", Burlington, KY 41005",Coy Wilson,(859) 586-6101,coy.wilson@uky.edu,www.boonecountyfarmersmarket.org,Boone,Kentucky Proud Greenhouse Products 2021,Unknown,1
-84.7651143,39.1113316,,,Merrell Family Farm,"896 Merrell Road, Hebron, KY 41048",Randy Merrell,(859) 630-5480,katheyhbr@aol.com,,Boone,Kentucky Proud Greenhouse Products 2021,Unknown,1
-84.6333808,38.934405,,,Baeten's Nursery & Greenhouse,"364 Frogtown Road, Union, KY 41091",Jeff or Todd Baeten,(859) 384-4769,baetensnursery@fuse.net,www.baetensnursery.com,Boone,Kentucky Proud Greenhouse Products 2021,Unknown,2
-84.6982644,38.7794587,,,"Circle ""H"" Ranch","705 Tower Drive, Verona, KY 41092",Aaron Holladay,(513) 706-9791,aaron@theassuregroup.com,CircleHLivestock.com,Boone,Kentucky Proud Greenhouse Products 2021,Unknown,1
-84.703086,38.824608,,,"RKS, LLC","14480 Brown Road, Verona, KY 41092",Kelly Simpson,(859) 380-7978,kelly.erin@hotmail.com,,Boone,Kentucky Proud Greenhouse Products 2021,Unknown,1
-84.6740438,38.877472,,,Pine Hill Farm,"1447 Beaver Rd, Walton, KY 41094",Bernie Or Eve Vaske,(859) 485-4514,rebeccautz@allstate.com,,Boone,Kentucky Proud Greenhouse Products 2021,Unknown,1
-84.59616,38.9329532,,,Natalie's Garden,"870 Maher Road, Walton, KY 41094",Nataliya Parker,(859) 371-5100,npark222@aol.com,,Boone,Kentucky Proud Greenhouse Products 2021,Unknown,1
-84.6068424,38.8522442,,,Lou Lou's Market,"565 Panzeretta Drive, Walton, KY 41094",Lindsey Hyden,(859) 609-7202,lindsey.17.05.02@gmail.com,,Boone,Kentucky Proud Greenhouse Products 2021,Unknown,1
-84.6183548,38.8635032,,,Blue & Gold Meat And Eggs,"30 School Road, Walton, KY 41094",Alexandra Oeder,(859) 485-7721,alex.sluder@wv.kyschools.us,,Boone,Kentucky Proud Greenhouse Products 2021,Unknown,1
-84.6102213,38.8756194,,,Walton-Verona HIgh School FFA Farmers' Market,", Walton, KY 41094",Alex Sluder,(859) 485-7721,alex.sluder@wv.kyschools.us,https://www.facebook.com/WaltonVeronaHSFFA/,Boone,Kentucky Proud Greenhouse Products 2021,Unknown,1
-84.8275498,38.986181,A,Yes,Ammon Farm,"Belleview Petersburg Road, Petersburg, KY 41080-",Greg Ammon,(859) 586-6246,ccrowder@ammonplants.com,,Boone,Kentucky Nursery Licenses 2021-2022,Unknown,1
-84.7034845,39.0189482,A,Yes,Ammon Wholesale,"6089 Camp Ernst Road, Burlington, KY 41005-",Greg Ammon,(859) 586-6246,ccrowder@ammonplants.com,,Boone,Kentucky Nursery Licenses 2021-2022,Unknown,1
-84.6333808,38.934405,A,Yes,Baeten's Nursery & Greenhouse Inc.,"364 Frogtown Road, Union, KY 41091-",Jeff Baeten/Todd Baeten,(859) 384-4769,,,Boone,Kentucky Nursery Licenses 2021-2022,Unknown,1
-84.6305058,38.9809337,A,Yes,"Bloomsz, LLC","7430 Industrial Rd., Florence, KY 41042-",Hans Philippo,(877) 811-8681,info@bloomsz.com,,Boone,Kentucky Nursery Licenses 2021-2022,Unknown,1
-84.6565152,39.0106172,A,Yes,"Gardeners First Choice, LLC","983 Colony Dr., Florence, KY 41042-",James E. Merkle,(859) 653-5303,JKMerkle@twc.com,,Boone,Kentucky Nursery Licenses 2021-2022,Unknown,1
-84.689416,38.946786,A,Yes,Happy Tree Farm,"2144 Hathaway Road, Union, KY 41091-",Martha Ferguson,(859) 653-0143,mominunion@gmail.com,,Boone,Kentucky Nursery Licenses 2021-2022,Unknown,1
-84.6188046,38.9645334,A,Yes,Maddox Garden Center,"8430 Dixie Highway, Florence, KY 41042-",Robert & Scott Maddox,(859) 371-6340,maddoxgc@fuse.net,,Boone,Kentucky Nursery Licenses 2021-2022,Unknown,1
-84.6355785,39.0092449,A,Yes,Ridgecrest Farm,"9059 Hominy Ridge Rd, Florence, KY 47020-",Caulette Talbert,(859) 640-3729,Ridgecrestfarmin@gmail.com,,Boone,Kentucky Nursery Licenses 2021-2022,Unknown,1
-84.7026262,39.0293393,A,Yes,"Rightway Nursery, Inc.","5529 Highway 237, Burlington, KY 41005-",Sandy Wright,(859) 586-6422,rightwaynursery@yahoo.com,,Boone,Kentucky Nursery Licenses 2021-2022,Unknown,1
-84.75922,39.1289545,A,Yes,Sand Run Nursery & Preserve,"9063 River Road, Hebron, KY 41048-","Mary & Paul Hemmer, Jr.",(859) 578-1800,phemmer@paulhemmer.com,,Boone,Kentucky Nursery Licenses 2021-2022,Unknown,1
-84.6568421,38.9637791,,Yes,Wilson Nursery,"9230 Gunpowder Rd, Florence, KY 41042",Todd Wilson,6063717420,,,Boone,KGA Commercial Directory,Unknown,1
-84.2740902,38.1924952,A2020?0198,No,Bourbon County Board of Education,3343 Lexington Road Paris KY 40361,,,tara.wolfenbarger@bourbon.kyschools.us,,Bourbon,KOAP Open Record Req. GHs,Unknown,1
-84.2548162,38.2071137,A2017?0200,No,Catholic Diocese of Lexington (St. Mary School),"1121 Main St, Paris, KY 40361",Miranda Chaplin,(859) 987?3815,mchaplin@cdlex.org,,Bourbon,KOAP Open Record Req. GHs,Unknown,1
-84.2873337,38.1970043,,,The Farm At Landworks,"246 Hume Bedford Road, Paris, KY 40361",Lynne & Andrew Perraut,(859) 987-1266,info@landworksoutdoorcreations.com,www.thefarmatlandworks.com,Bourbon,Kentucky Proud Greenhouse Growers 2021,Unknown,2
-84.151838,38.117138,,,Wood Dell Tilth,"991 Thatchers Mill Rd, Paris, KY 40361",Walker Hancock,,wooddelltilth@yahoo.com,,Bourbon,Kentucky Proud Greenhouse Growers 2021,Unknown,1
-84.2569352,38.1266279,,,"Southerland's Greenhouses, Inc.","1895 Clintonville Road, Paris, KY 40361",Brynn Deaton,(859) 987-6807,brynn@southerlands.com,southerlands.com,Bourbon,Kentucky Proud Greenhouse Growers 2021,Unknown,1
-84.155062,38.222385,,,AgTech Scientific Corp.,"1077 Cane Ridge Road, Paris, KY 40361",Steve Sloan,(859) 988-6500,steve.s@colorpoint.us,agtechscientific.com,Bourbon,Kentucky Proud Greenhouse Growers 2021,Unknown,1
